Time,m_omega,m_omega_dot,m_omega_dot_dot,m_accel_dot,M_omega,M_omega_dot,M_omega_dot_dot,M_accel_dot,excited?
53.0369,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0394,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0418,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0443,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0467,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0492,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0516,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0565,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.059,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0615,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0639,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0664,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0688,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0713,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0737,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0762,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0786,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0811,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0835,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.086,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0884,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0909,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0934,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0958,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0983,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1007,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1032,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1056,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1081,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1105,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.113,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1154,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1179,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1203,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1228,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1252,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1277,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1302,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1326,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1351,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1375,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1449,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.1473,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
